"p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
3.59769142852125e-35,-0.802755247742076,0.01,0.236,8.83305199530538e-31
1.31449844881718e-21,-0.44269254612391,0.003,0.109,3.22735659153593e-17
3.92760176421084e-21,-0.711026848857707,0.027,0.273,9.64304785149045e-17
1.79026152540403e-20,-0.595524302616294,0.007,0.145,4.39545009717199e-16
1.88158349460415e-20,-0.643435517142394,0.024,0.255,4.61966379595211e-16
3.94489450141207e-20,-0.745207850150268,0.032,0.291,9.68550497986692e-16
2.44545042167227e-19,-0.84149654855564,0.077,0.455,6.00406987528977e-15
3.13483281242275e-19,-0.511258822925485,0.008,0.145,7.69664152106033e-15
4.11305446372197e-19,-0.27935070786667,0,0.055,1.00983713193302e-14
4.11305446372197e-19,-0.293583101513346,0,0.055,1.00983713193302e-14
9.67586920967249e-19,-0.64971150852059,0.03,0.273,2.37561940835879e-14
1.30175204351422e-18,-0.706465339864211,0.016,0.2,3.19606161723611e-14
2.44594093156999e-18,-0.901441121100408,0.164,0.691,6.00527417519064e-14
4.03183146204173e-18,-0.731235878735205,0.064,0.4,9.89895260560485e-14
2.17402929752739e-17,-0.589058715313465,0.021,0.218,5.33767673128926e-13
3.41898159887022e-17,-0.190104189115583,0.009,0.145,8.39428362154615e-13
5.50000007755326e-17,-0.963237969754557,0.118,0.545,1.35036001904088e-12
7.66458777267581e-17,-0.420859707853767,0.003,0.091,1.88180958994736e-12
7.97611225065992e-17,-0.348373277920353,0.003,0.091,1.95829507978202e-12
1.84653485407494e-16,-0.704708152451738,0.081,0.436,4.5336123737248e-12
3.04932111965627e-16,-0.699316841826119,0.06,0.364,7.48669321298007e-12
7.86318896477032e-16,-0.526561061157663,0.013,0.164,1.93057015463041e-11
8.87330712005833e-16,-0.437094679876887,0.013,0.164,2.17857436411672e-11
1.31074788815774e-15,-0.469318028274497,0.008,0.127,3.21814821500487e-11
1.32864949304877e-15,-0.433766139084564,0.008,0.127,3.26210023533334e-11
1.47820509951811e-15,-0.731886682139687,0.062,0.364,3.62928916033687e-11
1.63072086793664e-15,-0.874071994596916,0.118,0.527,4.00374587495805e-11
2.90418790579171e-15,-0.68564716370491,0.053,0.327,7.13036214629981e-11
3.03441411992994e-15,-0.700189788350727,0.029,0.236,7.45009354725198e-11
3.49592203242309e-15,-0.594676933718485,0.017,0.182,8.58318777400517e-11
3.86506974512282e-15,-0.497009465293177,0.005,0.109,9.48951923822554e-11
5.27350893556621e-15,-0.518123386722702,0.063,0.364,1.29475191386022e-10
5.66216681706598e-15,-0.647058831038796,0.038,0.273,1.39017519692604e-10
6.03955559684099e-15,-0.480669998531664,0.053,0.327,1.4828316901364e-10
